time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-14 00:00:00+00:00,10,3,24,18
2025-02-15 00:00:00+00:00,5,2,20,9
2025-02-16 00:00:00+00:00,12,5,17,7
2025-02-17 00:00:00+00:00,6,4,20,16
2025-02-18 00:00:00+00:00,7,3,63,23
2025-02-19 00:00:00+00:00,1,1,47,13
2025-02-20 00:00:00+00:00,7,3,17,13
2025-02-21 00:00:00+00:00,6,3,23,11
2025-02-22 00:00:00+00:00,10,3,14,9
2025-02-23 00:00:00+00:00,6,3,11,5
2025-02-24 00:00:00+00:00,8,3,16,13
2025-02-25 00:00:00+00:00,1,1,55,21
2025-02-26 00:00:00+00:00,9,3,29,15
2025-02-27 00:00:00+00:00,3,2,38,20
