time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-07 00:00:00+00:00,5,2,48,24
2025-04-08 00:00:00+00:00,8,4,41,17
2025-04-09 00:00:00+00:00,4,3,32,14
2025-04-10 00:00:00+00:00,8,4,23,12
2025-04-11 00:00:00+00:00,6,4,41,17
2025-04-12 00:00:00+00:00,11,3,13,9
2025-04-13 00:00:00+00:00,5,2,16,9
2025-04-14 00:00:00+00:00,10,3,39,22
2025-04-15 00:00:00+00:00,4,4,23,14
2025-04-16 00:00:00+00:00,11,4,42,21
2025-04-17 00:00:00+00:00,6,5,47,22
2025-04-18 00:00:00+00:00,18,4,30,16
2025-04-19 00:00:00+00:00,6,4,4,3
2025-04-20 00:00:00+00:00,5,1,14,10
