time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,10,4,22,17
2025-01-31 00:00:00+00:00,7,5,25,14
2025-02-01 00:00:00+00:00,16,6,16,6
2025-02-02 00:00:00+00:00,1,1,38,8
2025-02-03 00:00:00+00:00,11,6,64,24
2025-02-04 00:00:00+00:00,9,3,43,19
2025-02-05 00:00:00+00:00,11,4,42,18
2025-02-06 00:00:00+00:00,2,2,30,15
2025-02-07 00:00:00+00:00,11,3,25,13
2025-02-08 00:00:00+00:00,1,1,13,12
2025-02-09 00:00:00+00:00,6,2,15,8
2025-02-10 00:00:00+00:00,2,2,36,21
2025-02-11 00:00:00+00:00,6,2,36,14
